"report_date","amount","is_workday","day_of_the_week"
"20170322","128889919","1","2"
"20170324","123863161","1","4"
"20170326","104586428","0","6"
"20170331","130570437","1","4"
"20170402","156932119","0","6"
"20170405","110619431","1","2"
"20170410","149941819","1","0"
"20170413","197015866","1","3"
"20170414","200685643","1","4"
"20170420","206640879","1","3"
"20170426","234805022","1","2"
"20170428","212761203","1","4"
"20170502","129418849","1","1"
"20170503","154948180","1","2"
"20170510","165925020","1","2"
"20170511","201571042","1","3"
"20170513","225079640","0","5"
"20170514","192727442","0","6"
"20170516","228214221","1","1"
"20170519","197580325","1","4"
"20170521","168858712","0","6"
"20170523","224882551","1","1"
"20170601","187581661","1","3"
"20170607","236537588","1","2"
"20170610","259110307","0","5"
"20170614","267240606","1","2"
"20170616","268415604","1","4"
"20170618","216769930","0","6"
"20170620","240083344","1","1"
"20170626","208909446","1","0"
"20170627","219335398","1","1"
"20170629","312517854","1","3"
"20170630","315637415","1","4"
"20170701","380098495","0","5"
"20170706","255158272","1","3"
"20170709","239737828","0","6"
"20170718","313237722","1","1"
"20170721","308986822","1","4"
"20170722","313158896","0","5"
"20170723","290711777","0","6"
"20170804","339233075","1","4"
"20170806","303953947","0","6"
"20170810","405895094","1","3"
"20170811","427885143","1","4"
"20170812","464820615","0","5"
"20170813","448942773","0","6"
"20170814","486898414","1","0"
"20170818","783499187","1","4"
"20170819","815087648","0","5"
"20170822","914200508","1","1"
"20170825","663631991","1","4"
"20170827","341946194","0","6"
"20170828","303898970","1","0"
"20170829","339074214","1","1"
"20170830","376284819","1","2"
"20170831","403341523","1","3"
"20170902","486446079","0","5"
"20170903","474867014","0","6"
"20170907","544992353","1","3"
"20170908","531664485","1","4"
"20170916","544136336","0","5"
"20170917","484195334","0","6"
"20170921","604725139","1","3"
"20170922","618390757","1","4"
"20170924","638385391","0","6"
"20170926","548414616","1","1"
"20171002","426700443","0","0"
"20171008","494311389","0","6"
"20171012","523224173","1","3"
"20171014","739296677","0","5"
"20171017","599807341","1","1"
"20171018","611353631","1","2"
"20171019","573377203","1","3"
"20171021","583759964","0","5"
"20171022","492159856","0","6"
"20171023","444389689","1","0"
"20171024","496125569","1","1"
"20171027","506798319","1","4"
"20171031","526701096","1","1"
"20171103","672293862","1","4"
"20171105","553291135","0","6"
"20171109","489036474","1","3"
"20171110","530694991","1","4"
"20171113","389835477","1","0"
"20171117","572634274","1","4"
"20171120","458694385","1","0"
"20171121","469162050","1","1"
"20171122","531722069","1","2"
"20171123","557142265","1","3"
"20171129","531614931","1","2"
"20171203","624876296","0","6"
"20171209","548019890","0","5"
"20171213","567793373","1","2"
"20171215","698388514","1","4"
"20171216","755155801","0","5"
"20171217","704957425","0","6"
"20171218","667151610","1","0"
"20171222","463918340","1","4"
"20171225","389280242","1","0"
"20171228","385310826","1","3"
"20180103","490442410","1","2"
"20180104","552297718","1","3"
"20180109","599670852","1","1"
"20180112","620368477","1","4"
"20180114","548690339","0","6"
"20180119","725940144","1","4"
"20180120","762445851","0","5"
"20180125","742366253","1","3"
"20180126","855862993","1","4"
"20180127","827715804","0","5"
"20180128","737419023","0","6"
"20180129","681227317","1","0"
"20180130","729903735","1","1"
"20180131","790825917","1","2"
"20180204","1052241511","0","6"
"20180207","726669056","1","2"
"20180208","595624349","1","3"
"20180214","317917823","1","2"
"20180215","271136334","0","3"
"20180218","592744233","0","6"
"20180224","706530103","1","5"
"20180226","765162806","1","0"
"20180301","1184939033","1","3"
"20180308","1209876576","1","3"
"20180316","888968902","1","4"
"20180319","686131146","1","0"
"20180320","690412549","1","1"
"20180328","787301825","1","2"
"20180330","827636555","1","4"
"20180404","844185471","1","2"
"20180407","815310932","0","5"
"20180409","782316956","1","0"
"20180411","925595636","1","2"
"20180416","846991371","1","0"
"20180419","927091818","1","3"
"20180420","910842184","1","4"
"20180421","898016745","0","5"
"20180422","811251893","0","6"
"20180423","772594900","1","0"
"20180424","800876774","1","1"
"20180426","787924904","1","3"
"20180503","577550998","1","3"
"20180505","809802021","0","5"
"20180506","927532049","0","6"
"20180507","917909389","1","0"
"20180509","817753960","1","2"
"20180510","793956120","1","3"
"20180516","805421678","1","2"
"20180517","671847254","1","3"
"20180519","656685711","0","5"
"20180522","667062389","1","1"
"20180524","686869326","1","3"
"20180525","697749334","1","4"
"20180527","726764593","0","6"
"20180528","751502037","1","0"
"20180601","721288769","1","4"
"20180608","903950840","1","4"
"20180614","847115500","1","3"
"20180617","705588672","0","6"
"20180618","612937943","0","0"
"20180622","770338222","1","4"
"20180625","669356816","1","0"
"20180626","753033234","1","1"
"20180627","749785373","1","2"
"20180629","733287659","1","4"
"20180703","587502250","1","1"
"20180707","601272229","0","5"
"20180708","579546193","0","6"
"20180709","532228444","1","0"
"20180714","597388596","0","5"
"20180720","512720605","1","4"
"20180722","453792873","0","6"
"20180730","544846098","1","0"
"20180801","683155724","1","2"
"20180802","678095306","1","3"
"20180803","617095907","1","4"
"20180804","619470185","0","5"
"20180812","969265224","0","6"
"20180815","655869223","1","2"
"20180820","520115658","1","0"
"20180821","645392223","1","1"
"20180822","736324172","1","2"
"20180828","764126272","1","1"
"20180830","795032536","1","3"
"20180903","610007326","1","0"
"20180904","716207152","1","1"
"20180905","773347551","1","2"
"20180906","795485684","1","3"
"20180907","784674825","1","4"
"20180910","594275614","1","0"
"20180914","770787490","1","4"
"20180916","788969555","0","6"
"20180918","751801619","1","1"
"20180919","709044641","1","2"
"20180925","733081720","1","1"
"20180928","667810999","1","4"
"20181006","783832222","0","5"
"20181008","799178226","1","0"
"20181013","768906766","0","5"
"20181015","680489858","1","0"
"20181016","746879721","1","1"
"20181021","659098784","0","6"
"20181026","684293439","1","4"
"20181027","652715257","0","5"
"20181030","572638512","1","1"
"20181031","615068398","1","2"
"20181101","653855506","1","3"
"20181106","636610946","1","1"
"20181109","638929349","1","4"
"20181118","546931392","0","6"
"20181119","495326347","1","0"
"20181121","554722402","1","2"
"20181122","621888617","1","3"
"20181123","754250083","1","4"
"20181209","616862048","0","6"
"20181211","592348104","1","1"
"20181212","603057996","1","2"
"20181217","676109722","1","0"
"20181218","759112369","1","1"
"20181220","758990507","1","3"
"20181222","686262484","0","5"
"20181223","622801954","0","6"
"20181224","538894655","1","0"
"20181225","531866546","1","1"
"20181226","535024421","1","2"
"20181231","515170340","0","0"
"20190101","496708820","0","1"
"20190102","444250363","0","2"
"20190114","975434409","1","0"
"20190120","896623454","0","6"
"20190124","824248321","1","3"
"20190129","683673164","1","1"
"20190130","665554984","1","2"
"20190201","658440849","1","4"
"20190202","594791381","1","5"
"20190203","586801013","1","6"
"20190205","562040915","0","1"
"20190206","729012587","0","2"
"20190208","890859896","0","4"
"20190213","1072555069","1","2"
"20190214","1090237035","1","3"
"20190215","1072917052","1","4"
"20190217","1149529889","0","6"
"20190220","1263183788","1","2"
"20190223","1443332177","0","5"
"20190301","1504281078","1","4"
"20190302","1230046245","0","5"
"20190303","1046249915","0","6"
"20190305","1045641028","1","1"
"20190308","1243431824","1","4"
"20190315","1027566544","1","4"
"20190316","1107691256","0","5"
"20190317","988025833","0","6"
"20190318","904687524","1","0"
"20190319","987323206","1","1"
"20190321","1164115963","1","3"
"20190323","1117500451","0","5"
"20190326","1117209173","1","1"
"20190327","1172804909","1","2"
"20190328","1079041819","1","3"
"20190330","1018292309","0","5"
"20190403","1188415132","1","2"
"20190405","975987230","0","4"
"20190406","999296921","0","5"
"20190409","928533583","1","1"
"20190414","884925274","0","6"
"20190416","798966269","1","1"
"20190417","867483816","1","2"
"20190422","718460378","1","0"
"20190424","901552707","1","2"
"20190426","895610291","1","4"
"20190428","803182781","1","6"
"20190430","639483970","1","1"
"20190505","847869437","1","6"
"20190506","829579138","1","0"
"20190507","819069209","1","1"
"20190512","833224700","0","6"
"20190513","739673314","1","0"
"20190517","843268044","1","4"
"20190521","662438748","1","1"
"20190522","687269071","1","2"
"20190523","731671756","1","3"
"20190525","749462981","0","5"
"20190602","706999408","0","6"
"20190603","685954073","1","0"
"20190604","722274463","1","1"
"20190607","794372046","0","4"
"20190608","761710445","0","5"
"20190616","812511752","0","6"
"20190619","706028810","1","2"
"20190621","741693562","1","4"
"20190622","771560166","0","5"
"20190624","675851804","1","0"
"20190625","708005784","1","1"
"20190626","777215298","1","2"
"20190627","738976381","1","3"
"20190629","675428941","0","5"
"20190630","605785030","0","6"
"20190701","611393005","1","0"
"20190710","714737747","1","2"
"20190711","763575828","1","3"
"20190713","872924662","0","5"
"20190715","672959989","1","0"
"20190721","785142979","0","6"
"20190725","797234336","1","3"
"20190727","875884318","0","5"
"20190731","1001616800","1","2"
"20190802","1211111570","1","4"
"20190808","631490569","1","3"
"20190809","668982661","1","4"
"20190812","713082460","1","0"
"20190813","734189083","1","1"
"20190820","828464248","1","1"
"20190821","898219010","1","2"
"20190825","831507391","0","6"
"20190827","861008679","1","1"
"20190830","811408406","1","4"
"20190831","804100323","0","5"
"20190903","877448896","1","1"
"20190906","982803045","1","4"
"20190912","664776989","1","3"
"20190918","787546408","1","2"
"20190920","900603252","1","4"
"20190928","676347717","0","5"
"20191001","597382545","0","1"
"20191002","707945361","0","2"
"20191004","820069978","0","4"
"20191006","804708131","0","6"
"20191007","657000010","0","0"
"20191009","734733202","1","2"
"20191010","781921591","1","3"
"20191015","728254404","1","1"
"20191016","731335111","1","2"
"20191017","725107579","1","3"
"20191021","549183735","1","0"
"20191023","604285972","1","2"
"20191026","603790678","0","5"
"20191027","522702928","0","6"
"20191029","525686879","1","1"
"20191101","642462473","1","4"
"20191103","540887872","0","6"
"20191104","494514069","1","0"
"20191105","574936921","1","1"
"20191107","625190092","1","3"
"20170318","135008629","0","5"
"20170321","114319267","1","1"
"20170323","131804214","1","3"
"20170328","120031308","1","1"
"20170401","133557271","1","5"
"20170409","157285363","0","6"
"20170411","163349152","1","1"
"20170412","184209312","1","2"
"20170418","186493428","1","1"
"20170421","192658300","1","4"
"20170423","194134245","0","6"
"20170425","231894278","1","1"
"20170427","223877950","1","3"
"20170429","225988532","0","5"
"20170501","164377271","0","0"
"20170507","140823630","0","6"
"20170508","116168237","1","0"
"20170512","224976628","1","4"
"20170522","170227628","1","0"
"20170524","251235168","1","2"
"20170525","255506547","1","3"
"20170529","207343098","0","0"
"20170602","195406800","1","4"
"20170603","223263008","0","5"
"20170605","191826066","1","0"
"20170606","235659204","1","1"
"20170611","241789530","0","6"
"20170613","254692649","1","1"
"20170615","282376412","1","3"
"20170619","193848785","1","0"
"20170622","253618372","1","3"
"20170623","240644060","1","4"
"20170624","242381869","0","5"
"20170625","199679685","0","6"
"20170708","241394452","0","5"
"20170716","274896001","0","6"
"20170717","295826711","1","0"
"20170724","276732015","1","0"
"20170728","364218299","1","4"
"20170729","338004216","0","5"
"20170730","322037381","0","6"
"20170801","426062046","1","1"
"20170802","420081809","1","2"
"20170803","370808252","1","3"
"20170805","345750801","0","5"
"20170807","269640222","1","0"
"20170816","654700486","1","2"
"20170821","808583819","1","0"
"20170823","960027346","1","2"
"20170826","480335501","0","5"
"20170904","477315340","1","0"
"20170905","537172315","1","1"
"20170909","542468931","0","5"
"20170910","493457888","0","6"
"20170911","460909906","1","0"
"20170918","464290542","1","0"
"20170919","552227396","1","1"
"20170923","672482161","0","5"
"20171004","481087029","0","2"
"20171005","532665426","0","3"
"20171006","588177635","0","4"
"20171007","551256326","0","5"
"20171009","369867149","1","0"
"20171011","410890409","1","2"
"20171016","585845384","1","0"
"20171020","546683611","1","4"
"20171026","519614008","1","3"
"20171029","492464826","0","6"
"20171102","667104989","1","3"
"20171107","481615603","1","1"
"20171108","515709162","1","2"
"20171112","455353937","0","6"
"20171114","410276144","1","1"
"20171115","480153315","1","2"
"20171116","505858114","1","3"
"20171118","580537564","0","5"
"20171127","494068559","1","0"
"20171201","761825860","1","4"
"20171204","537119574","1","0"
"20171205","571054326","1","1"
"20171206","584643041","1","2"
"20171207","562108374","1","3"
"20171208","550097496","1","4"
"20171210","502434325","0","6"
"20171223","459584377","0","5"
"20171226","355130319","1","1"
"20171227","371093513","1","2"
"20180102","441185803","0","1"
"20180107","623797654","0","6"
"20180108","580384355","1","0"
"20180110","535017045","1","2"
"20180111","553888188","1","3"
"20180115","528022657","1","0"
"20180116","583563884","1","1"
"20180118","677532492","1","3"
"20180121","694536830","0","6"
"20180122","614598571","1","0"
"20180123","661358653","1","1"
"20180201","1170411859","1","3"
"20180203","1143566011","0","5"
"20180210","468796739","0","5"
"20180212","367708506","1","0"
"20180216","345196757","0","4"
"20180219","606326636","0","0"
"20180220","662004146","0","1"
"20180223","628096403","1","4"
"20180228","845437815","1","2"
"20180302","1048179888","1","4"
"20180306","1123821407","1","1"
"20180309","1206458595","1","4"
"20180311","956344831","0","6"
"20180312","831825504","1","0"
"20180313","856518506","1","1"
"20180315","881874152","1","3"
"20180318","771043238","0","6"
"20180321","737627908","1","2"
"20180323","764419545","1","4"
"20180325","678920862","0","6"
"20180326","633033909","1","0"
"20180329","792914615","1","3"
"20180331","830084364","0","5"
"20180401","1076534186","0","6"
"20180403","956884452","1","1"
"20180405","876359986","0","3"
"20180406","907485453","0","4"
"20180414","903159894","0","5"
"20180415","876780833","0","6"
"20180417","929699912","1","1"
"20180418","972014573","1","2"
"20180427","771431450","1","4"
"20180515","800606400","1","1"
"20180521","643095151","1","0"
"20180523","682816598","1","2"
"20180526","713416603","0","5"
"20180530","684115604","1","2"
"20180602","783562808","0","5"
"20180603","786825352","0","6"
"20180604","796606765","1","0"
"20180606","981157873","1","2"
"20180607","926315836","1","3"
"20180609","931200974","0","5"
"20180610","878754940","0","6"
"20180611","761707578","1","0"
"20180612","840982797","1","1"
"20180615","816456956","1","4"
"20180616","768222444","0","5"
"20180619","612228006","1","1"
"20180620","754688453","1","2"
"20180702","593706476","1","0"
"20180704","648197391","1","2"
"20180705","681466048","1","3"
"20180706","676804490","1","4"
"20180710","595797012","1","1"
"20180713","581345479","1","4"
"20180715","588443004","0","6"
"20180717","583915874","1","1"
"20180724","525864394","1","1"
"20180727","583232903","1","4"
"20180731","568039276","1","1"
"20180805","598480340","0","6"
"20180809","872906532","1","3"
"20180810","995789409","1","4"
"20180811","1036239247","0","5"
"20180816","530760113","1","3"
"20180819","532917936","0","6"
"20180823","693569909","1","3"
"20180824","675930300","1","4"
"20180825","689367395","0","5"
"20180826","706081805","0","6"
"20180831","748863275","1","4"
"20180915","837331674","0","5"
"20180924","663549245","0","0"
"20181001","593418360","0","0"
"20181002","644064426","0","1"
"20181003","707437085","0","2"
"20181005","765974541","0","4"
"20181009","672575547","1","1"
"20181011","816246253","1","3"
"20181014","699352077","0","6"
"20181017","751110129","1","2"
"20181018","695002967","1","3"
"20181020","693633208","0","5"
"20181102","671881114","1","4"
"20181108","622293253","1","3"
"20181110","636267741","0","5"
"20181113","509934134","1","1"
"20181114","525288479","1","2"
"20181115","556067383","1","3"
"20181126","560208701","1","0"
"20181127","569766552","1","1"
"20181202","618944849","0","6"
"20181204","573010165","1","1"
"20181207","583266263","1","4"
"20181208","626460202","0","5"
"20181213","618283145","1","3"
"20181219","789959533","1","2"
"20181221","698306472","1","4"
"20181227","609217517","1","3"
"20181228","618095455","1","4"
"20181229","627830065","1","5"
"20181230","643776434","0","6"
"20190104","498960451","1","4"
"20190106","592951988","0","6"
"20190107","599690233","1","0"
"20190110","735777053","1","3"
"20190113","933330935","0","6"
"20190115","961161511","1","1"
"20190117","1040519201","1","3"
"20190118","1025877043","1","4"
"20190125","864344970","1","4"
"20190127","762061158","0","6"
"20190204","486157823","0","0"
"20190207","809991466","0","3"
"20190211","1082130734","1","0"
"20190212","1090137210","1","1"
"20190216","1143137216","0","5"
"20190218","1184646770","1","0"
"20190222","1410047080","1","4"
"20190224","1346733731","0","6"
"20190225","1235849615","1","0"
"20190227","1283734999","1","2"
"20190304","911154349","1","0"
"20190306","1110142242","1","2"
"20190307","1226826615","1","3"
"20190314","1061430370","1","3"
"20190322","1133129920","1","4"
"20190325","993828369","1","0"
"20190329","1079456284","1","4"
"20190331","929258892","0","6"
"20190401","1256479958","1","0"
"20190404","1109144152","1","3"
"20190407","899903445","0","6"
"20190411","1043136937","1","3"
"20190412","1020844626","1","4"
"20190413","976653350","0","5"
"20190419","832522366","1","4"
"20190421","767335261","0","6"
"20190423","840021596","1","1"
"20190425","928110346","1","3"
"20190429","707950658","1","0"
"20190514","835364450","1","1"
"20190516","856794011","1","3"
"20190518","772257451","0","5"
"20190520","624988279","1","0"
"20190524","720261314","1","4"
"20190606","777354063","1","3"
"20190610","577864978","1","0"
"20190611","668011979","1","1"
"20190612","805545918","1","2"
"20190614","808673791","1","4"
"20190618","651510223","1","1"
"20190620","729072507","1","3"
"20190623","670802402","0","6"
"20190702","726684855","1","1"
"20190703","625569370","1","2"
"20190707","688473453","0","6"
"20190708","626743052","1","0"
"20190712","776091755","1","4"
"20190714","777139087","0","6"
"20190717","794490879","1","2"
"20190719","806961087","1","4"
"20190723","769581299","1","1"
"20190803","1121809857","0","5"
"20190805","664695346","1","0"
"20190806","611544167","1","1"
"20190810","720198697","0","5"
"20190816","886072495","1","4"
"20190817","937088679","0","5"
"20190823","947040556","1","4"
"20190824","897901692","0","5"
"20190828","876590789","1","2"
"20190829","874287568","1","3"
"20190902","716423838","1","0"
"20190907","916280800","0","5"
"20190911","628699931","1","2"
"20190913","758243307","0","4"
"20190915","681044307","0","6"
"20190917","636077672","1","1"
"20190919","838938668","1","3"
"20190923","725530870","1","0"
"20190927","807515537","1","4"
"20190929","574197052","1","6"
"20191008","661729609","1","1"
"20191012","746576111","1","5"
"20191018","752779647","1","4"
"20191019","744235416","0","5"
"20191022","588897467","1","1"
"20191024","615818318","1","3"
"20191025","575875256","1","4"
"20191030","574529045","1","2"
"20191110","593807436","0","6"
"20191111","522944798","1","0"
"20191113","535640204","1","2"
"20191114","541859940","1","3"
"20170317","151360016","1","4"
"20170319","117243887","0","6"
"20170320","93092685","1","0"
"20170325","125023024","0","5"
"20170327","103710264","1","0"
"20170329","133471758","1","2"
"20170330","119846348","1","3"
"20170403","138753889","0","0"
"20170404","111140015","0","1"
"20170406","138970501","1","3"
"20170407","154650073","1","4"
"20170408","184801450","0","5"
"20170415","203383782","0","5"
"20170416","164360708","0","6"
"20170417","157883880","1","0"
"20170419","180153509","1","2"
"20170422","228632576","0","5"
"20170424","193494811","1","0"
"20170430","239522026","0","6"
"20170504","164638844","1","3"
"20170505","178253374","1","4"
"20170506","192995795","0","5"
"20170509","150364056","1","1"
"20170515","190824758","1","0"
"20170517","243874406","1","2"
"20170518","228345498","1","3"
"20170520","207842894","0","5"
"20170526","278809062","1","4"
"20170527","252892465","1","5"
"20170528","221078204","0","6"
"20170530","183904922","0","1"
"20170531","160946682","1","2"
"20170604","195013830","0","6"
"20170608","254533663","1","3"
"20170609","265004747","1","4"
"20170612","215320314","1","0"
"20170617","249139205","0","5"
"20170621","237936473","1","2"
"20170628","263539618","1","2"
"20170702","301569024","0","6"
"20170703","276408942","1","0"
"20170704","246667484","1","1"
"20170705","259553701","1","2"
"20170707","249458787","1","4"
"20170710","212026281","1","0"
"20170711","254037456","1","1"
"20170712","275745155","1","2"
"20170713","292633705","1","3"
"20170714","308192411","1","4"
"20170715","286135098","0","5"
"20170719","335313615","1","2"
"20170720","304395618","1","3"
"20170725","316708490","1","1"
"20170726","315751982","1","2"
"20170727","336372816","1","3"
"20170731","330188802","1","0"
"20170808","306558896","1","1"
"20170809","350023120","1","2"
"20170815","578571738","1","1"
"20170817","699939757","1","3"
"20170820","854756890","0","6"
"20170824","841494312","1","3"
"20170901","522653831","1","4"
"20170906","563910328","1","2"
"20170912","511098213","1","1"
"20170913","515527645","1","2"
"20170914","565814770","1","3"
"20170915","526283902","1","4"
"20170920","585374084","1","2"
"20170925","570374169","1","0"
"20170927","430790844","1","2"
"20170928","347553964","1","3"
"20170929","295658373","1","4"
"20170930","296688186","1","5"
"20171001","374148695","0","6"
"20171003","457599246","0","1"
"20171010","325125407","1","1"
"20171013","641912167","1","4"
"20171015","680006065","0","6"
"20171025","514940739","1","2"
"20171028","522000537","0","5"
"20171030","452948001","1","0"
"20171101","684932245","1","2"
"20171104","614899813","0","5"
"20171106","469856157","1","0"
"20171111","528191421","0","5"
"20171119","494793354","0","6"
"20171124","699695557","1","4"
"20171125","673546116","0","5"
"20171126","605686553","0","6"
"20171128","515440225","1","1"
"20171130","567182958","1","3"
"20171202","701984898","0","5"
"20171211","464112793","1","0"
"20171212","538115217","1","1"
"20171214","565713840","1","3"
"20171219","715436650","1","1"
"20171220","629481224","1","2"
"20171221","524728228","1","3"
"20171224","441781879","0","6"
"20171229","429999136","1","4"
"20171230","510088204","0","5"
"20171231","505339500","0","6"
"20180101","510362910","0","0"
"20180105","574251933","1","4"
"20180106","674649096","0","5"
"20180113","643075826","0","5"
"20180117","660568138","1","2"
"20180124","675030694","1","2"
"20180202","1185849122","1","4"
"20180205","857472989","1","0"
"20180206","710455769","1","1"
"20180209","461770177","1","4"
"20180211","433662828","1","6"
"20180213","355856250","1","1"
"20180217","505349572","0","5"
"20180221","721001398","0","2"
"20180222","648280576","1","3"
"20180225","794150485","0","6"
"20180227","825035839","1","1"
"20180303","1004570720","0","5"
"20180304","1026021824","0","6"
"20180305","952272570","1","0"
"20180307","1206013307","1","2"
"20180310","1165385126","0","5"
"20180314","932517728","1","2"
"20180317","868576913","0","5"
"20180322","766246610","1","3"
"20180324","746736838","0","5"
"20180327","681115147","1","1"
"20180402","980566646","1","0"
"20180408","817410685","1","6"
"20180410","856423547","1","1"
"20180412","904480636","1","3"
"20180413","922852308","1","4"
"20180425","831111441","1","2"
"20180428","651987759","1","5"
"20180429","697137389","0","6"
"20180430","680648294","0","0"
"20180501","670055605","0","1"
"20180502","590991179","1","2"
"20180504","658973953","1","4"
"20180508","777715066","1","1"
"20180511","824470749","1","4"
"20180512","869131860","0","5"
"20180513","819502949","0","6"
"20180514","769515428","1","0"
"20180518","666077159","1","4"
"20180520","656184121","0","6"
"20180529","716212395","1","1"
"20180531","665051759","1","3"
"20180605","878027063","1","1"
"20180613","915355490","1","2"
"20180621","784787859","1","3"
"20180623","771898295","0","5"
"20180624","705679400","0","6"
"20180628","716773964","1","3"
"20180630","683127667","0","5"
"20180701","620476826","0","6"
"20180711","629138824","1","2"
"20180712","562143323","1","3"
"20180716","529270518","1","0"
"20180718","579381483","1","2"
"20180719","518320150","1","3"
"20180721","520052600","0","5"
"20180723","375104361","1","0"
"20180725","549126554","1","2"
"20180726","547800421","1","3"
"20180728","575401702","0","5"
"20180729","559835358","0","6"
"20180806","518298219","1","0"
"20180807","673421748","1","1"
"20180808","772790035","1","2"
"20180813","865668225","1","0"
"20180814","763918444","1","1"
"20180817","496332630","1","4"
"20180818","515687904","0","5"
"20180827","687295686","1","0"
"20180829","805563357","1","2"
"20180901","736820234","0","5"
"20180902","690779554","0","6"
"20180908","776928870","0","5"
"20180909","673935341","0","6"
"20180911","636409488","1","1"
"20180912","683994269","1","2"
"20180913","739637294","1","3"
"20180917","777922551","1","0"
"20180920","682924905","1","3"
"20180921","653967316","1","4"
"20180922","710298000","0","5"
"20180923","705231425","0","6"
"20180926","854207496","1","2"
"20180927","715601243","1","3"
"20180929","579887551","1","5"
"20180930","585907931","1","6"
"20181004","744601273","0","3"
"20181007","739197644","0","6"
"20181010","956530852","1","2"
"20181012","784779580","1","4"
"20181019","710925395","1","4"
"20181022","588160845","1","0"
"20181023","677475488","1","1"
"20181024","705953338","1","2"
"20181025","683452724","1","3"
"20181028","617568522","0","6"
"20181029","545649914","1","0"
"20181103","686184387","0","5"
"20181104","690038450","0","6"
"20181105","584293970","1","0"
"20181107","617216026","1","2"
"20181111","566076023","0","6"
"20181112","494314355","1","0"
"20181116","623534295","1","4"
"20181117","600070377","0","5"
"20181120","537988540","1","1"
"20181124","752441406","0","5"
"20181125","693120454","0","6"
"20181128","572367789","1","2"
"20181129","565306472","1","3"
"20181130","550905297","1","4"
"20181201","646296064","0","5"
"20181203","534118291","1","0"
"20181205","668007936","1","2"
"20181206","588660216","1","3"
"20181210","551683787","1","0"
"20181214","648855378","1","4"
"20181215","787074938","0","5"
"20181216","818465612","0","6"
"20190103","420439708","1","3"
"20190105","610359374","0","5"
"20190108","617858981","1","1"
"20190109","717739670","1","2"
"20190111","938415744","1","4"
"20190112","1007375964","0","5"
"20190116","986958331","1","2"
"20190119","1004880030","0","5"
"20190121","808355670","1","0"
"20190122","829873190","1","1"
"20190123","855137608","1","2"
"20190126","832286260","0","5"
"20190128","709357053","1","0"
"20190131","655391453","1","3"
"20190209","999604827","0","5"
"20190210","1175676651","0","6"
"20190219","1218682425","1","1"
"20190221","1348933899","1","3"
"20190226","1263107902","1","1"
"20190228","1265746434","1","3"
"20190309","1210363357","0","5"
"20190310","1052012871","0","6"
"20190311","957430026","1","0"
"20190312","1059481906","1","1"
"20190313","1044606784","1","2"
"20190320","1139132724","1","2"
"20190324","1010746697","0","6"
"20190402","1218588010","1","1"
"20190408","762816691","1","0"
"20190410","1037386622","1","2"
"20190415","702642484","1","0"
"20190418","827248560","1","3"
"20190420","846817801","0","5"
"20190427","879891539","0","5"
"20190501","785063089","0","2"
"20190502","818760271","0","3"
"20190503","838835259","0","4"
"20190504","829774030","0","5"
"20190508","860987507","1","2"
"20190509","903637864","1","3"
"20190510","879462942","1","4"
"20190511","877122703","0","5"
"20190515","834697208","1","2"
"20190519","645639816","0","6"
"20190526","678920636","0","6"
"20190527","662693940","1","0"
"20190528","730237801","1","1"
"20190529","687271532","1","2"
"20190530","671531697","1","3"
"20190531","698831747","1","4"
"20190601","748536777","0","5"
"20190605","755445416","1","2"
"20190609","566216800","0","6"
"20190613","821293210","1","3"
"20190615","735554715","0","5"
"20190617","781723459","1","0"
"20190628","684974260","1","4"
"20190704","647162953","1","3"
"20190705","657997372","1","4"
"20190706","743502564","0","5"
"20190709","647942791","1","1"
"20190716","771785716","1","1"
"20190718","828661995","1","3"
"20190720","831311038","0","5"
"20190722","775424139","1","0"
"20190724","809461178","1","2"
"20190726","820212403","1","4"
"20190728","861953400","0","6"
"20190729","854388454","1","0"
"20190730","925302152","1","1"
"20190801","1325082567","1","3"
"20190804","869605031","0","6"
"20190807","626857740","1","2"
"20190811","754169369","0","6"
"20190814","827206129","1","2"
"20190815","928153948","1","3"
"20190818","855269551","0","6"
"20190819","762442940","1","0"
"20190822","1010095436","1","3"
"20190826","808679498","1","0"
"20190901","745797929","0","6"
"20190904","960522284","1","2"
"20190905","1048408162","1","3"
"20190908","834861396","0","6"
"20190909","716373032","1","0"
"20190910","656631318","1","1"
"20190914","832492464","0","5"
"20190916","555255442","1","0"
"20190921","894213950","0","5"
"20190922","869089043","0","6"
"20190924","752637984","1","1"
"20190925","822796205","1","2"
"20190926","856748240","1","3"
"20190930","507036220","1","0"
"20191003","834406477","0","3"
"20191005","826002997","0","5"
"20191011","777571199","1","4"
"20191013","681047497","0","6"
"20191014","634645691","1","0"
"20191020","674678779","0","6"
"20191028","472961051","1","0"
"20191031","579205192","1","3"
"20191102","578548087","0","5"
"20191106","607952700","1","2"
"20191108","620204346","1","4"
"20191109","647024387","0","5"
"20191112","559582431","1","1"
